Round,Date,Course,Tees,Yardage,Rating,Slope,Low Temp,Hi Temp,Wind,Gusts,Front Nine Score,Back Nine Score,Total Score,Difference,Eagles or Better,Birdies,Pars,Bogies,Doubles or Worse,Fairways,Fairway %,Greens,GIR %,Putts,3 Putts,Par 3 Diff,Par 3 Avg,Par 4 Diff,Par 4 Avg,Par 5 Diff,Par 5 Avg
0,04/22/23,Glen Oak Country Club,Member,6501,71.6,135,39,45,8,17,44.0,43.0,87.0,10.4,0.0,1.0,6.0,7.0,4.0,1.0,0.07,5.0,0.28,33.0,1.0,2.0,3.5,12.0,5.2,1.0,5.25
1,04/23/23,Glen Oak Country Club,Championship,6841,73.2,139,37,39,5,10,44.0,47.0,91.0,11.8,0.0,0.0,7.0,4.0,7.0,0.0,0.0,3.0,0.17,32.0,0.0,5.0,4.25,12.0,5.2,2.0,5.5
