,Unnamed: 0,Course,Tees,Yardage,Rating,Slope
0,0,Village Links 18 Hole Front,Black,3615,37.4,133
1,1,Village Links 18 Hole Front,Blue,3393,36.4,127
2,2,Village Links 18 Hole Front,White,3199,35.5,124
3,3,Glen Oak Country Club Front,Championship,3372,36.4,139
4,4,Glen Oak Country Club Front,Member,3199,35.6,135
5,5,Glen Oak Country Club Back,Championship,3469,36.8,138
6,6,Glen Oak Country Club Back,Member,3302,36.0,135
