Round,Date,Course,Tees,Yardage,Rating,Slope,Low Temp,Hi Temp,Wind,Gusts,Score,Difference,Eagles or Better,Birdies,Pars,Bogies,Doubles or Worse,Fairways,Fairway %,Greens,GIR %,Putts,3 Putts,Par 3 Diff,Par 3 Avg,Par 4 Diff,Par 4 Avg,Par 5 Diff,Par 5 Avg
0,04/13/23,Village Links 18 Hole Front,Blue,3393,36.4,127,70,75,5,10,40.0,3.6,0.0,0.0,3.0,5.0,1.0,1.0,0.14,2.0,0.22,15.0,0.0,1.0,3.5,8.0,5.6,0.0,5.0
1,04/26/23,Village Links 18 Hole Front,White,3199,35.5,124,45,51,3,7,38.0,2.5,0.0,2.0,2.0,4.0,1.0,1.0,0.14,4.0,0.44,16.0,1.0,1.0,3.5,0.0,4.0,4.0,7.0
