,Unnamed: 0,Course,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9,Hole 10,Hole 11,Hole 12,Hole 13,Hole 14,Hole 15,Hole 16,Hole 17,Hole 18,Total
0,0,Village Links 18 Hole,4,5,3,4,4,5,4,3,4,4,3,4,4,4,5,5,3,4,72
1,1,Glen Oak Country Club,4,4,3,4,5,3,5,4,4,5,3,4,4,4,4,3,5,4,72
