Round,Course,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9
0,Village Links 18 Hole Front,2,2,1,2,1,2,2,2,1
1,Village Links 18 Hole Front,1,3,2,1,2,2,1,2,2
