Round,Course,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9
0,Village Links 18 Hole Front,5,5,3,8,5,5,5,4,5
1,Village Links 18 Hole Front,3,6,3,3,5,8,4,4,5
2,Glen Oak Country Club Front,6,4,5,5,7,3,5,5,6
3,Glendale Lakes Front,5,6,4,4,4,3,7,3,6
4,Glen Oak Country Club Back,6,3,5,6,6,4,3,6,6
5,Cantigny - Hillside,4,7,4,4,3,5,5,4,4
