Round,Course,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9
0,Village Links 18 Hole Front,13,3,15,1,11,5,7,17,9
1,Village Links 18 Hole Front,13,3,15,1,11,5,7,17,9
2,Glen Oak Country Club Front,5,9,15,7,3,17,1,13,11
3,Glendale Lakes Front,7,1,9,5,13,17,11,15,3
4,Glen Oak Country Club Back,4,18,8,14,2,12,16,10,6
5,Cantigny - Hillside,5,2,8,6,9,1,3,7,4
