Course,Tees,Yardage,Rating,Slope
Village Links 18 Hole Front,Black,3615,37.4,133
Village Links 18 Hole Front,Blue,3393,36.4,127
Village Links 18 Hole Front,White,3199,35.5,124
Glen Oak Country Club Front,Championship,3372,36.4,139
Glen Oak Country Club Front,Member,3199,35.6,135
Glen Oak Country Club Back,Championship,3469,36.8,138
Glen Oak Country Club Back,Member,3302,36.0,135
Glendale Lakes Front,White,2783,33.5,118
