Round,Course,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9
0,Village Links 18 Hole Front,L,Y,L,S,S,Y,S,S,D
1,Village Links 18 Hole Front,Y,Y,Y,Y,S,S,L,D,D
2,Glen Oak Country Club Front,S,R,S,D,S,S,L,R,S
3,Glendale Lakes Front,Y,S,D,Y,Y,Y,S,L,S
4,Glen Oak Country Club Back,Y,Y,S,S,S,Y,Y,S,S
5,Cantigny - Hillside,L,R,Y,Y,Y,Y,S,S,R
